Q5ZPJ7 0.004 1
F8J2F5 3.87e-06 1
F8J2F6 0.002 1
B2ZBC0 0.001 1
P26226 0.064 1
B2KTG1 2.72e-06 1
P24541 4.33e-07 1
P82966 7.57e-05 1
Q28864 0.001 1
P26227 2.64e-05 1
B2KTG2 8.04e-06 1
A6MGY1 2.02e-04 1
B2KTG3 3.05e-05 1
P26228 4.4 1
B5KL30 1.69e-05 1
Q2UY11 0.040 1
P82968 3.26e-05 1
P0C1X2 6.75e-04 1
B5KL31 0.015 1
P11424 2.21e-04 1
B5KL32 7.59e-07 1
Q9D263 0.69 1
B5KL33 2.07e-06 1
P0C8W3 1.50e-05 1
Q6NUX0 2.6 1
B5KL34 3.19e-05 1
G9I929 3.7 1
B5KL35 2.34e-06 1
Q868Z9 0.92 1
B5KL36 7.55e-06 1
B5KL37 1.57e-06 1
B5KL38 1.52e-06 1
Q8R0S6 0.10 1
B5KL39 3.25e-06 1
Q7T2Q6 0.002 1
P0DN06 1.04e-06 1
P0DN20 4.91e-05 1
P0DN07 1.63e-05 1
P0DN08 5.56e-06 1
Q9TWG0 4.69e-07 1
C0HJU6 2.46e-06 1
P0DN09 1.63e-06 1
C0HJU7 2.22e-06 1
Q62577 7.7 1
F6ULY1 1.50e-09 1
Q0PL65 0.002 1
O93279 3.59e-06 1
Q9WU03 6.98e-04 1
H2A0M2 0.002 1
Q29100 7.64e-06 1
P29216 6.15e-07 1
Q60495 1.94e-06 1
P25660 1.15e-04 1
Q9DA01 4.24e-09 1
D2Y2C2 4.04e-04 1
Q1RPS8 1.78e-04 1
P81547 1.85e-04 1
Q1RPS9 4.27e-04 1
E7FL11 5.99e-04 1
P81548 4.95e-06 1
Q8WPI2 7.36e-04 1
E7FL12 6.23e-07 1
C0HJF3 1.03e-06 1
O76840 2.0 1
B5L5R0 4.34e-06 1
Q8WPI3 5.34e-04 1
C0HJF4 1.68e-06 1
E7FL13 4.38e-07 1
P00980 2.38e-04 1
B5L5R1 1.16e-06 1
Q5IS80 1.70e-06 1
Q7TQN3 6.8 1
P86862 5.86e-05 1
Q03610 0.16 1
P00981 8.96e-04 1
P16344 0.004 1
P00982 4.50e-04 1
Q90W96 5.39e-07 1
P00983 8.18e-04 1
B5L5R4 7.55e-06 1
Q90W97 3.39e-06 1
P00984 6.30e-04 1
P0DKL8 2.21e-06 1
P00985 5.24e-05 1
B5L5R6 0.003 1
Q90W98 1.98e-05 1
Q90W99 1.22e-05 1
P00986 1.21e-05 1
B5L5R7 4.34e-06 1
P81129 2.30e-06 1
P00987 8.34e-06 1
D2Y2G0 0.001 1
P07481 0.001 1
P00989 5.48e-06 1
D2Y2G1 1.90e-05 1
D2Y2G2 0.003 1
B1B5I8 1.99e-06 1
B7S4N9 3.03e-06 1
Q29143 4.85e-05 1
B5G6G6 4.91e-06 1
Q60559 4.8 1
O62247 8.9 1
P81162 1.93e-05 1
O73683 0.040 1
D2Y490 4.77e-05 1
D2Y491 1.14e-05 1
P0DJ45 4.35e-05 1
P04365 0.007 1
Q2ES46 3.59e-06 1
P0DJ46 3.55e-05 1
Q2ES47 8.44e-06 1
P04366 0.007 1
P31713 2.35e-06 1
Q2ES48 9.03e-08 1
P0DJ47 2.04e-06 1
P0DJ48 1.11e-04 1
P36992 8.9 1
Q2ES49 0.028 1
Q75S50 8.15e-06 1
P0CAR0 2.9 1
D3GGZ8 7.8 1
P0DJ49 6.79e-06 1
P0DJ64 1.40e-04 1
P0DJ65 6.69e-04 1
Q6ITC0 3.53e-07 1
P0DJ66 1.44e-06 1
Q6ITC1 3.45e-04 1
P0DJ80 8.21e-04 1
Q6T6T5 4.94e-06 1
Q90WA0 1.26e-06 1
I2G9B4 4.16e-07 1
P0DJ67 5.73e-04 1
Q9R097 4.47e-05 1
P0DJ81 0.027 1
P0DJ68 0.003 1
Q90WA1 7.28e-07 1
Q8T3S7 1.19e-07 1
P0DJ82 4.46e-05 1
P86733 1.98e-05 1
P0DJ69 1.92e-04 1
P0DJ84 1.90e-05 1
A5X2X1 0.71 1
P86963 0.008 1
P0DJ85 3.46e-04 1
P86964 0.017 1
P19859 0.016 1
P0DMW6 6.66e-07 1
P0DMW7 5.63e-07 1
Q9EPX2 2.00e-05 1
P0DMW8 0.20 1
C0HK72 2.22e-06 1
P0DMW9 0.031 1
Q28201 1.48e-04 1
C0HK73 1.15e-05 1
C0HK74 1.33e-06 1
B2ZBB6 2.52e-06 1
Q7LZE3 6.30e-04 1
P10831 2.00e-05 1
C0HLB2 5.63e-08 1
P10832 2.38e-04 1
P79307 1.72e-06 1
Q07456 1.8 1
B2ZBB8 8.55e-04 1
A8Y7N4 7.28e-06 1
Q4KUS1 2.14e-09 1
Q7YRQ8 0.004 1
A6MGX9 5.53e-04 1
P0C5J5 0.004 1
B2ZBB9 7.96e-04 1
A8Y7N5 1.02e-04 1
Q589G4 6.69e-05 1
A8Y7N6 9.81e-08 1
B5KL27 6.34e-06 1
B5KL40 5.11e-06 1
B4ESA2 0.005 1
B5KL41 2.47e-05 1
B5KL28 7.55e-06 1
A8Y7P0 3.15e-05 1
B4ESA3 4.74e-05 1
D2Y2Q1 2.27e-05 1
A8Y7N7 8.19e-08 1
D2Y2Q2 1.84e-05 1
B4ESA4 1.55e-05 1
P16044 2.22e-06 1
B5KL29 8.81e-06 1
A8Y7P1 0.56 1
P53601 1.70e-06 1
A8Y7N8 7.59e-06 1
Q08E66 1.4 1
A8Y7N9 5.41e-05 1
P0DMJ1 2.68e-05 1
A8Y7P2 8.10e-06 1
P0DMJ2 1.66e-09 1
A8Y7P3 2.25e-05 1
C1IC50 1.46e-05 1
D2Y2Q5 1.36e-05 1
D4A2Z2 3.94e-09 1
P0DMJ3 1.07e-05 1
A8Y7P4 4.11e-05 1
C1IC51 2.31e-05 1
A8Y7P5 0.65 1
D2Y2Q6 1.69e-05 1
P0DMJ4 1.05e-04 1
P0DN10 7.96e-06 1
C1IC52 3.96e-05 1
A8Y7P6 2.85e-05 1
P0DN11 3.50e-06 1
D2Y2Q7 2.04e-05 1
P0DMJ5 2.00e-06 1
D2Y2Q8 1.84e-05 1
C1IC53 1.49e-06 1
P0DMJ6 5.14e-04 1
O62845 8.75e-08 1
P0DN12 1.97e-06 1
B5L5M7 9.33e-07 1
D2Y2Q9 1.90e-05 1
P0DN13 4.38e-05 1
W4VSH9 5.07e-06 1
Q02445 1.15e-04 1
P0DN14 8.73e-06 1
Q9W728 3.55e-05 1
P0DN15 4.09e-06 1
Q64240 7.8 1
Q1RPT0 5.95e-06 1
P0DN16 4.46e-05 1
P15943 4.24e-07 1
Q63870 0.038 1
P0DN17 3.65e-05 1
O35536 0.005 1
P0DN18 2.74e-05 1
P0DN19 1.06e-05 1
Q9TWF8 8.43e-06 1
Q9TWF9 1.52e-06 1
H2A0N1 0.008 1
B5L5Q1 2.68e-06 1
O54819 6.05e-05 1
B5L5Q3 1.34e-04 1
P0CH75 6.6 1
P19761 0.001 1
H2A0N5 0.013 1
B2G331 2.02e-06 1
P00974 3.39e-05 1
B5L5Q6 1.79e-05 1
P00975 1.29e-05 1
P62756 0.002 1
H2A0P0 0.015 1
Q6T269 4.50e-05 1
P00976 1.05e-07 1
P62757 0.002 1
P68425 1.76e-06 1
P00990 1.42e-05 1
H2A0N9 4.28e-05 1
B5L5Q8 7.29e-07 1
P00991 5.14e-06 1
B6RLX2 9.85e-05 1
P00978 0.011 1
P00979 3.66e-04 1
P00992 3.98e-06 1
Q3UW55 4.97e-10 1
P20229 1.50e-05 1
P00993 8.34e-06 1
D2Y2F3 1.40e-04 1
P00994 1.32e-05 1
D2Y2F4 5.73e-04 1
E5AJX3 3.72e-06 1
D2Y2F5 4.21e-04 1
D2Y2F6 1.47e-04 1
P04815 1.52e-05 1
D2Y2F7 0.002 1
P15989 3.1 1
D2Y2F8 4.25e-04 1
Q9BDL1 1.07e-09 1
D2Y2F9 6.69e-04 1
A7X3V4 1.71e-07 1
Q2ES50 3.15e-05 1
P0DJ50 4.97e-06 1
P10280 4.04e-06 1
Q7Z1K3 0.009 1
A7X3V7 1.71e-04 1
Q8AY41 4.70e-05 1
Q8T0W4 1.26e-05 1
Q8AY42 8.04e-05 1
P0CY85 0.001 1
C0LNR2 1.63e-04 1
Q8AY43 9.76e-06 1
Q6ITB0 5.49e-06 1
D2Y488 4.63e-05 1
Q6ITB1 5.49e-06 1
D2Y489 8.48e-06 1
Q8AY44 8.15e-06 1
P0DJ70 4.04e-04 1
Q8AY45 5.53e-06 1
Q6ITB2 1.33e-05 1
Q6T6S5 8.49e-06 1
Q6ITB3 1.90e-06 1
Q8AY46 1.12e-05 1
P0DJ71 4.21e-04 1
Q95241 1.64e-06 1
P0DL86 2.02e-06 1
Q6ITB4 7.91e-07 1
P0DJ72 1.47e-04 1
B5KF94 0.003 1
A0A1Z0YU59 1.24e-05 1
P0DJ73 0.002 1
Q6ITB5 7.51e-07 1
B5KF95 7.40e-06 1
B5KF96 6.15e-06 1
Q6ITB6 7.91e-07 1
Q75S49 1.14e-05 1
P0DJ74 1.92e-04 1
P81902 1.01e-06 1
P12023 4.69e-06 1
Q6ITB7 3.61e-06 1
H6VC05 7.28e-06 1
P0DJ75 8.55e-04 1
P0DJ76 1.83e-06 1
Q6ITB8 3.73e-04 1
A6MFL1 8.34e-04 1
H6VC06 3.90e-05 1
P08592 1.91e-06 1
B2BS84 7.10e-05 1
P0DJ77 1.76e-06 1
Q6ITB9 1.20e-06 1
A6MFL2 8.68e-04 1
P81658 0.002 1
Q7LZS8 5.14e-04 1
D8KY58 2.89e-05 1
P0DJ78 8.55e-04 1
Q29428 2.07e-05 1
P81906 1.61e-06 1
A6MFL3 1.68e-04 1
P0DJ79 8.12e-04 1
A6MFL4 3.16e-05 1
P0DMX0 2.52e-06 1
P83606 1.93e-05 1
Q11101 1.6 1
F8J2F3 1.37e-06 1
P86959 4.25e-04 1
P83609 0.002 1
P84875 7.19e-06 1
F8J2F4 5.80e-07 1
